Train_No,Journey_Duration_Hours,Total_Distance,Number_of_Stops
12212,21.166666666666668,1059,14
12213,7.333333333333332,2350,7
12214,8.916666666666666,2351,6
12215,22.833333333333332,1431,18
12216,23.5,1429,18
12217,6.416666666666667,3086,22
12218,5.25,3084,22
12219,12.0,774,4
12220,12.0,774,4
12221,4.416666666666667,2026,8
12222,3.4166666666666665,2033,8
12223,21.0,1301,6
12224,20.75,1306,6
12225,14.666666666666666,795,15
12226,14.25,796,15
12227,11.833333333333334,831,5
12228,12.666666666666666,831,5
12229,8.916666666666666,492,9
12230,8.666666666666666,492,9
12231,11.666666666666666,644,16
12232,11.666666666666666,644,16
12235,19.666666666666668,2446,26
12236,20.833333333333332,2448,26
12237,22.583333333333332,1253,13
12238,22.666666666666668,1253,13
12239,15.333333333333334,1157,5
12240,16.5,1158,5
12241,4.25,247,6
12242,4.0,247,6
12243,7.0,491,6
12244,6.833333333333333,493,6
12245,5.083333333333333,1957,6
12246,5.25,1959,6
12247,17.083333333333332,1355,7
12248,17.75,1358,7
12249,16.666666666666668,1425,7
12250,16.833333333333332,1426,7
12251,4.833333333333332,1611,25
12252,5.5,1605,26
12253,19.0,2478,29
12254,19.583333333333332,2477,29
12257,16.0,798,19
12258,16.5,797,19
12259,17.0,1448,5
12260,16.916666666666668,1449,5
12261,2.4166666666666665,1972,7
12262,2.1666666666666665,1979,7
12263,19.75,1498,7
12264,20.25,1501,7
12265,9.166666666666666,577,3
12266,9.0,577,3
12267,6.5,490,2
12268,6.333333333333332,490,2
12269,3.9166666666666665,2156,7
12270,4.416666666666667,2155,7
12273,21.833333333333332,1516,6
12274,21.75,1517,6
12275,7.75,629,2
12276,7.583333333333332,629,2
12277,7.5,504,8
12278,7.916666666666667,503,8
12279,6.75,385,11
12280,7.166666666666667,388,11
12281,22.416666666666668,1714,6
12282,21.833333333333332,1717,6
12283,20.166666666666668,2636,11
12284,18.083333333333332,2634,11
12285,21.416666666666668,1651,6
12286,22.25,1652,6
12289,11.083333333333334,841,4
12290,11.416666666666666,841,4
12291,6.5,364,7
12292,6.5,363,7
12293,19.166666666666668,1353,5
12294,19.416666666666668,1352,5
12295,0.08333333333333333,2703,36
12296,0.16666666666666666,2697,37
12297,8.666666666666666,623,4
12298,8.75,622,4
12301,17.083333333333332,1438,8
12302,16.916666666666668,1439,8
12303,22.0,1516,25
12304,23.333333333333332,1517,25
12305,19.916666666666668,1516,9
12306,19.333333333333332,1517,9
12307,7.166666666666668,1803,28
12308,7.5,1805,28
12309,12.666666666666666,987,6
12310,12.25,987,6
12311,8.833333333333334,1699,39
12312,8.0,1700,40
12313,17.583333333333332,1448,8
12314,17.75,1449,8
12315,13.583333333333334,2119,23
12316,14.833333333333334,2120,23
12317,9.666666666666666,1884,23
12318,9.333333333333334,1885,23
12319,22.833333333333332,1416,12
12320,0.3333333333333333,1417,11
12321,13.416666666666666,2165,48
12322,14.25,2167,49
12323,22.25,1425,9
12324,22.916666666666668,1426,9
12325,8.333333333333334,1792,18
12326,8.333333333333334,1793,18
12327,5.166666666666667,1577,20
12328,5.083333333333332,1577,20
12329,22.666666666666668,1435,8
12330,22.25,1436,8
12331,12.666666666666666,2010,32
12332,12.75,2011,32
12333,16.0,878,31
12334,15.833333333333334,879,31
12335,11.0,1917,39
12336,10.416666666666666,1918,38
12337,2.25,146,4
12338,2.5,146,4
12339,4.333333333333333,258,13
12340,4.5,259,13
12341,3.25,199,7
12342,3.25,200,7
12343,9.916666666666666,571,6
12344,10.0,571,6
12345,18.0,1023,13
12346,16.666666666666668,1023,13
12347,3.6666666666666665,206,9
